Tournament,slug,startDate,endDate,entrants
boss-battle-2-1,2016-11-12,2016-11-13,36
operation-desert-smash-ii,2016-09-09,2016-09-11,23
superboomed,2016-10-22,2016-10-23,26
snosa-ii,2016-06-18,2016-06-19,32
pound-2016,2016-04-02,2016-04-03,30
shine-2016,2016-08-26,2016-08-28,22
g3,2016-01-15,2016-01-18,47
don-t-park-on-the-grass,2016-12-17,2016-12-19,20
smash-n-splash-2-1,2016-06-11,2016-06-12,7
super-smash-con-2016,2016-08-11,2016-08-14,96
g4,2017-01-20,2017-01-23,43
showdown-battle-royale,2016-12-10,2016-12-11,9
shine-2016,2016-08-26,2016-08-28,22
