P1, P2, set winner, P1Score, P2Score
gunfighterjl,jedi,0,-2,-2
seren,cloverdale ice,0,-2,-2
powerplaya,ryko,1,-2,-2
adhd,gunfighterjl,0,-2,-2
jakat,ghost [cridlin],1,-2,-2
kp kero,bmx,0,-2,-2
masterofzoroark,riz,0,-2,-2
mvd,seren,0,-2,-2
cool lime,adam grakowsky,1,-2,-2
pelca,ryko,0,-2,-2
kden,sebastian,0,-2,-2
adhd,ghost [cridlin],0,-2,-2
kp kero,masterofzoroark,0,-2,-2
mvd,adam grakowsky,1,-2,-2
pelca,kden,0,-2,-2
adhd,kp kero,0,-2,-2
adam grakowsky,pelca,0,-2,-2
adhd,adam grakowsky,0,-2,-2
sebastian,jedi,1,-1,0
riz,cloverdale ice,1,-1,0
jakat,powerplaya,0,0,-1
jedi,ryko,0,-2,-2
cool lime,seren,0,-2,-2
cloverdale ice,bmx,1,-2,-2
jakat,gunfighterjl,0,-2,-2
masterofzoroark,jedi,0,-2,-2
ghost [cridlin],cool lime,1,-2,-2
kden,bmx,1,-2,-2
mvd,jakat,0,-2,-2
masterofzoroark,cool lime,1,-2,-2
bmx,mvd,1,-2,-2
pelca,cool lime,0,-2,-2
kp kero,mvd,1,-2,-2
pelca,mvd,1,-2,-2
adam grakowsky,mvd,0,-2,-2
rex_sheath,lunar,1,0,2
calm,proj r mlgsyd,0,0,-1
esam,lunar,0,2,0
vincessant,knowledge,0,2,0
gadiel,keiththegeek,0,2,0
pwnagepolice,riko,0,2,0
seagull joe,calm,0,2,0
clsmandalore,nfoh,0,2,0
llod,rekgrizzly,0,2,0
deliciouskale,saron,1,-1,0
esam,vincessant,1,1,2
gadiel,pwnagepolice,0,2,0
seagull joe,clsmandalore,0,2,0
llod,saron,0,2,0
vincessant,gadiel,1,1,2
seagull joe,llod,0,2,1
gadiel,seagull joe,1,0,2
deliciouskale,rex_sheath,1,-1,0
riko,proj r mlgsyd,0,0,-1
rex_sheath,rekgrizzly,1,0,2
nfoh,calm,1,0,2
riko,keiththegeek,1,1,2
knowledge,lunar,1,0,2
pwnagepolice,rekgrizzly,0,2,1
esam,calm,1,-1,0
saron,keiththegeek,0,2,0
clsmandalore,lunar,1,0,2
pwnagepolice,calm,1,0,2
saron,lunar,1,1,2
llod,calm,0,2,0
vincessant,lunar,0,2,0
llod,vincessant,0,2,1
gadiel,llod,0,-2,-2
scoop,giggitoxin,1,0,2
zzz,nikku,0,0,-1
some freaking cactus,ld,0,2,0
mew2king,giggitoxin,0,2,0
ayce,arcwarrior76,1,-1,0
y.b.m.,ampersand,1,-1,0
average joe,arch,1,0,2
player-1,zzz,0,2,0
hsy,powersfire,1,0,2
dkbill,some freaking cactus,0,2,0
zaney,supersayianrenan,1,0,2
mew2king,arcwarrior76,0,2,0
ampersand,arch,1,0,2
player-1,powersfire,0,2,0
dkbill,supersayianrenan,1,1,2
mew2king,arch,0,2,0
player-1,supersayianrenan,0,2,0
mew2king,player-1,0,2,1
zaney,scoop,0,2,0
average joe,nikku,0,0,-1
ayce,ld,1,-1,0
zaney,some freaking cactus,1,0,2
hsy,zzz,0,2,0
average joe,y.b.m.,0,0,-1
ld,giggitoxin,1,0,2
ampersand,some freaking cactus,1,0,2
arcwarrior76,hsy,1,1,2
dkbill,average joe,0,2,0
powersfire,giggitoxin,1,0,2
some freaking cactus,hsy,0,2,0
dkbill,giggitoxin,0,2,0
supersayianrenan,some freaking cactus,0,2,0
arch,dkbill,1,0,2
supersayianrenan,dkbill,1,0,2
player-1,dkbill,0,-2,-2
mixit,banshee,1,1,2
mr.e [rohr],gunfer,0,0,-1
gonzogg,redrobtata,0,0,-1
nairo,banshee,0,2,0
sharky,leaf fc,1,-1,0
wadi,mommy,1,-1,0
kassandranova,rekshadow,0,2,0
[t.t.d] pbk l emg l blacktwins13,mr.e [rohr],0,0,-1
robo,snackmoney,0,2,0
mikeray4,gonzogg,0,2,0
mikalott,navii,0,0,-1
nairo,leaf fc,0,0,-1
mommy,kassandranova,1,0,2
[t.t.d] pbk l emg l blacktwins13,robo,0,2,0
mikeray4,mikalott,0,2,0
nairo,kassandranova,0,2,0
[t.t.d] pbk l emg l blacktwins13,mikeray4,1,0,2
nairo,mikeray4,0,2,0
navii,mixit,1,-1,0
rekshadow,gunfer,0,0,-1
sharky,redrobtata,0,0,-1
mixit,gonzogg,1,0,2
snackmoney,mr.e [rohr],0,0,-1
rekshadow,wadi,0,0,-1
sharky,banshee,1,-1,0
mommy,gonzogg,0,2,0
leaf fc,snackmoney,1,-1,0
mikalott,rekshadow,0,2,0
robo,banshee,0,2,1
mommy,snackmoney,0,2,0
mikalott,robo,0,2,1
[t.t.d] pbk l emg l blacktwins13,mommy,0,2,0
kassandranova,mikalott,1,1,2
[t.t.d] pbk l emg l blacktwins13,mikalott,0,2,0
mikeray4,[t.t.d] pbk l emg l blacktwins13,0,-2,-2
sir_chunkz,seo,0,-2,-2
frostbyte,ryozo ito,1,-1,0
k-phat,jonan,0,2,0
ally,sir_chunkz,0,2,0
ferey,joe bee,0,2,0
tantalus,solid valentine,0,2,0
xiivi,erhan,0,2,0
atomsk,ryozo ito,0,2,0
derp,thedarkdreamer,1,0,2
big d,k-phat,1,-1,0
ziltoidfalco,fuzzman,1,-1,0
ally,ferey,0,2,0
tantalus,xiivi,0,2,0
atomsk,thedarkdreamer,0,2,0
k-phat,fuzzman,0,2,0
ally,tantalus,0,2,0
atomsk,k-phat,0,2,0
ally,atomsk,1,1,2
ziltoidfalco,seo,1,-1,0
erhan,frostbyte,0,0,-1
joe bee,jonan,0,2,1
seo,big d,1,-1,0
derp,ryozo ito,0,2,1
erhan,solid valentine,0,2,0
joe bee,sir_chunkz,0,2,0
xiivi,big d,0,0,-1
ferey,derp,0,2,0
fuzzman,erhan,0,2,0
thedarkdreamer,joe bee,1,0,2
xiivi,ferey,0,2,0
fuzzman,joe bee,1,0,2
k-phat,xiivi,1,0,2
tantalus,joe bee,0,2,0
xiivi,tantalus,1,0,2
ally,tantalus,0,-2,-2
apollo [triki],bugcatcherwill,1,0,2
king_crab,brian,1,-1,0
f.o.e.,rubrub el conquistador,0,0,-1
vinnie,bugcatcherwill,0,2,0
captbutter,dragoniota,1,0,2
praxis,firewater,0,2,0
gambit,mr_bottom_tier,0,2,0
abadango,brian,0,2,0
cascade,penguinman47,1,-1,0
bizkit,f.o.e.,0,2,0
pokevsim,jpin,0,0,-1
vinnie,dragoniota,0,2,0
praxis,gambit,0,2,0
abadango,penguinman47,0,2,0
bizkit,pokevsim,0,2,0
vinnie,praxis,0,2,0
abadango,bizkit,0,2,0
vinnie,abadango,0,2,0
jpin,apollo [triki],1,-1,0
mr_bottom_tier,king_crab,0,0,-1
captbutter,rubrub el conquistador,0,0,-1
apollo [triki],f.o.e.,1,0,2
cascade,brian,1,-1,0
mr_bottom_tier,firewater,1,0,2
captbutter,bugcatcherwill,1,0,2
gambit,f.o.e.,1,0,2
dragoniota,brian,0,2,0
pokevsim,firewater,1,-1,0
penguinman47,bugcatcherwill,0,2,0
f.o.e.,dragoniota,1,0,2
firewater,penguinman47,1,0,2
bizkit,dragoniota,0,2,0
praxis,penguinman47,1,0,2
bizkit,penguinman47,1,1,2
abadango,penguinman47,0,-2,-2
ebat,final smasher,1,-1,0
tm06,thatguy,1,0,2
mr. roo,ebat,0,0,-1
mr. roo,kezzup,0,2,0
mr. roo,5wg5,1,0,2
thatguy,riseup93,0,2,0
alondite,musicalmashup,0,2,0
alondite,saijicani,0,2,0
alondite,sova unknown,1,0,2
nakat,thatguy,0,2,0
nakat,5wg5,0,2,0
nakat,zan,0,-2,-2
nakat,zan,0,2,0
kezzup,jewbacca,0,0,-1
kezzup,skippy,1,0,2
kezzup,riseup93,0,2,0
darknight326,thatguy,1,0,2
darknight326,musicalmashup,0,2,0
skippy,darknight326,1,0,2
v115,nakat,0,2,0
v115,saijicani,0,2,0
v115,iota,0,2,0
v115,sova unknown,0,2,0
5wg5,tm06,0,2,1
5wg5,alondite,0,2,1
final smasher,saijicani,1,-1,0
final smasher,darknight326,1,-1,0
iota,jewbacca,0,0,-1
iota,skippy,0,2,0
iota,5wg5,0,2,0
sova unknown,thatguy,1,0,2
zan,mr. roo,0,2,0
zan,thatguy,0,2,1
zan,darknight326,0,2,0
zan,iota,0,2,1
midnight,a to the z,0,0,-1
kila cross,generalconfusion,0,-2,-2
master j.j.,reef,1,-2,-2
anti,midnight,0,-2,-2
d4nace,patty-wagon,0,0,-1
kiwi,darklite,0,-2,-2
wombat,proj r_ml_mastercore,0,0,-1
rich brown,kila cross,0,-2,-2
akaboshi,scoopy,1,-2,-2
ralph cecil,reef,1,-1,0
areeenen,yolochi,1,-1,0
anti,d4nace,0,-2,-2
kiwi,wombat,0,-2,-2
rich brown,scoopy,0,-2,-2
reef,yolochi,1,-2,-2
anti,kiwi,0,-2,-2
rich brown,yolochi,0,-2,-2
anti,rich brown,0,-2,-2
areeenen,a to the z,1,-1,0
proj r_ml_mastercore,generalconfusion,1,-1,0
patty-wagon,master j.j.,1,-1,0
a to the z,ralph cecil,0,0,-1
akaboshi,kila cross,1,-2,-2
generalconfusion,darklite,1,-2,-2
master j.j.,midnight,1,-2,-2
wombat,a to the z,0,0,-1
d4nace,kila cross,1,-2,-2
reef,darklite,1,-2,-2
scoopy,midnight,1,-2,-2
wombat,kila cross,0,-2,-2
darklite,midnight,1,-2,-2
yolochi,wombat,1,-2,-2
kiwi,midnight,0,-2,-2
wombat,kiwi,1,-2,-2
rich brown,kiwi,0,-2,-2
adhd,atomsk,0,2,1
seagull joe,vinnie,1,0,2
mew2king,v115,1,0,2
nairo,anti,1,1,2
adhd,vinnie,1,1,3
v115,anti,0,3,0
vinnie,v115,0,3,2
vinnie,v115,0,3,2
rich brown,mvd,0,2,1
mikeray4,tantalus,0,2,0
nakat,llod,1,-1,0
player-1,penguinman47,0,0,-1
abadango,dkbill,1,0,2
gadiel,zan,0,2,0
ally,[t.t.d] pbk l emg l blacktwins13,0,2,0
adam grakowsky,kiwi,0,2,0
rich brown,mikeray4,0,2,0
llod,player-1,1,0,2
dkbill,gadiel,1,-2,-2
ally,adam grakowsky,0,2,0
seagull joe,rich brown,1,0,2
atomsk,player-1,1,1,2
nairo,gadiel,0,2,0
mew2king,ally,1,1,2
rich brown,player-1,1,0,3
nairo,ally,0,3,1
anti,player-1,0,3,1
adhd,nairo,0,3,0
anti,adhd,1,2,3
v115,adhd,0,3,1
