Tournament,slug,Player 1, Player 2
Genesis 4,g4,pink fresh,apa~
Genesis 4,g4,dyr,sinji
Genesis 4,g4,larry lurr,chag
Genesis 4,g4,ned,jan
Genesis 4,g4,mister eric,ned
Genesis 4,g4,6wx,dss
Genesis 4,g4,esam,aerolink
Genesis 4,g4,false,cacogen
Genesis 4,g4,pugwest,child
Genesis 4,g4,day,raffi-x
Genesis 4,g4,falln,filip
Genesis 4,g4,tyrant,big d
Genesis 4,g4,dath,jk
Genesis 4,g4,nakat,kameme
Genesis 4,g4,anti,mvd
Genesis 4,g4,samsora,ito
Genesis 4,g4,mvd,abadango
Genesis 4,g4,esam,anti
Genesis 4,g4,darkshad,sinji
Genesis 4,g4,chag,captainzack
Genesis 4,g4,kodystri,pink fresh
Genesis 4,g4,ryo,k9sbruce
Genesis 4,g4,shaky,darkshad
Genesis 4,g4,k9sbruce,marss
Genesis 4,g4,cacogen,ned
Genesis 4,g4,aerolink,earth
Genesis 4,g4,zero,brood
Genesis 4,g4,zinoto,manny
Genesis 4,g4,child,tweek
Genesis 4,g4,brood,zinoto
Genesis 4,g4,rich brown,ally
Genesis 4,g4,locus,tyrant
Genesis 4,g4,locus,ranai
Genesis 4,g4,salem,elegant
Genesis 4,g4,elegant,mkleo
Genesis 4,g4,you3,pugwest
Genesis 4,g4,9b,salem
Genesis 4,g4,javi,falln
Genesis 4,g4,nietono,javi
Genesis 4,g4,javi,fatality
Genesis 4,g4,dabuz,komorikiri
Genesis 4,g4,captainzack,mr. r
Genesis 4,g4,mkleo,komorikiri
Genesis 4,g4,elegant,fatality
Genesis 4,g4,nairo,zero
Genesis 4,g4,rich brown,9b
Genesis 4,g4,void,zero
Genesis 4,g4,captainzack,anti
Genesis 4,g4,mkleo,ally
Genesis 4,g4,abadango,captainzack
Genesis 4,g4,ally,zero
2GGC: Genesis Saga,2ggc-genesis-saga-1,komorikiri,eon
2GGC: Genesis Saga,2ggc-genesis-saga-1,dabuz,dss
2GGC: Genesis Saga,2ggc-genesis-saga-1,tweek,imhip
2GGC: Genesis Saga,2ggc-genesis-saga-1,tyrant,javi
2GGC: Genesis Saga,2ggc-genesis-saga-1,falln,k9sbruce
2GGC: Genesis Saga,2ggc-genesis-saga-1,esam,zenyou
2GGC: Genesis Saga,2ggc-genesis-saga-1,pink fresh,elegant
2GGC: Genesis Saga,2ggc-genesis-saga-1,mkleo,void
2GGC: Genesis Saga,2ggc-genesis-saga-1,void,komorikiri
2GGC: Genesis Saga,2ggc-genesis-saga-1,marss,k9sbruce
2GGC: Genesis Saga,2ggc-genesis-saga-1,pink fresh,saiki
2GGC: Genesis Saga,2ggc-genesis-saga-1,mr.e,fatality
2GGC: Genesis Saga,2ggc-genesis-saga-1,mr.e,jk
2GGC: Genesis Saga,2ggc-genesis-saga-1,tweek,komorikiri
2GGC: Genesis Saga,2ggc-genesis-saga-1,ezreal,cyro
2GGC: Genesis Saga,2ggc-genesis-saga-1,aarvark,nicko
2GGC: Genesis Saga,2ggc-genesis-saga-1,eon,6wx
2GGC: Genesis Saga,2ggc-genesis-saga-1,teb,phoenix
2GGC: Genesis Saga,2ggc-genesis-saga-1,falln,aarvark
2GGC: Genesis Saga,2ggc-genesis-saga-1,rich brown,jk
Midwest Mayhem 6,mm6,tyroy,xane
Midwest Mayhem 6,mm6,ned,bushi
Midwest Mayhem 6,mm6,darkshad,panda bair
Midwest Mayhem 6,mm6,mjg,darkshad
Midwest Mayhem 6,mm6,james,aarvark
Midwest Mayhem 6,mm6,elegant,captainzack
Midwest Mayhem 6,mm6,ally,tyroy
Midwest Mayhem 6,mm6,shinjoebi,sinnyboo242
Midwest Mayhem 6,mm6,tyrant,zinoto
Midwest Mayhem 6,mm6,elegant,captainzack
Midwest Mayhem 6,mm6,ally,james
Midwest Mayhem 6,mm6,captainzack,james
Midwest Mayhem 6,mm6,tyrant,rich brown
Midwest Mayhem 6,mm6,james,tyrant
Midwest Mayhem 6,mm6,elegant,james
SMASH CONFERENCE LXIX,smash-conference-lxix-3,saj,~muteace~
SMASH CONFERENCE LXIX,smash-conference-lxix-3,~muteace~,saj
SMASH CONFERENCE LXIX,smash-conference-lxix-3,mvd,riotlettuce
SMASH CONFERENCE LXIX,smash-conference-lxix-3,riotlettuce,mvd
SMASH CONFERENCE LXIX,smash-conference-lxix-3,day,nickriddle
SMASH CONFERENCE LXIX,smash-conference-lxix-3,nickriddle,day
SMASH CONFERENCE LXIX,smash-conference-lxix-3,manny,scatt
SMASH CONFERENCE LXIX,smash-conference-lxix-3,myran,mvd
SMASH CONFERENCE LXIX,smash-conference-lxix-3,nickriddle,day
