Tournament,startDate,endDate,entrants
the-big-house-6,2016-10-07,2016-10-09,323
super-smash-con-2016,2016-08-11,2016-08-14,172
pound-2016,2016-04-02,2016-04-03,122
shine-2016,2016-08-26,2016-08-28,252
wtfox-2,2016-07-02,2016-07-04,67
dreamhack-winter-2016,2016-11-25,2016-11-26,49
beast-6,2016-02-18,2016-02-21,119
pax-arena,2016-01-29,2016-01-31,8
smash-summit-2,2016-04-21,2016-04-25,8
smash-n-splash-2-1,2016-06-11,2016-06-12,96
low-tier-city-4,2016-06-18,2016-06-20,51
smash-summit-3,2016-11-03,2016-11-06,8
g3,2016-01-15,2016-01-18,397
don-t-park-on-the-grass,2016-12-17,2016-12-19,174
ceo-2016,2016-06-24,2016-06-27,106
clutch-city-clash-powered-by-xyience,2016-08-06,2016-08-08,50
heir-3-1,2016-08-18,2016-08-21,167
syndicate-2016,2016-09-10,2016-09-11,61
eclipse-2,2016-10-20,2016-10-22,80
canada-cup-2016,2016-10-28,2016-10-30,38
ugc-smash-open,2016-12-02,2016-12-05,55
smash-summit-3,2016-11-03,2016-11-06,8
apex-2016,2016-06-17,2016-06-19,32
get-on-my-level-2016,2016-05-20,2016-05-22,100
get-on-my-level-2016,2016-05-20,2016-05-22,100
get-on-my-level-2016,2016-05-20,2016-05-22,100
