Tag,Rank,Characters,Score,Change
Wario,1,kirby,9.98,NEW
SuPeRbOoMfAn,2,captain falcon;pikachu;kirby,9.92,NEW
Isai,3,ssb64,9.81,NEW
Alvin,4,captain falcon;pikachu,9.74,NEW
wangera,5,jigglypuff,9.42,NEW
Mariguas,6,pikachu,9.38,NEW
Wizzrobe,7,yoshi,9.09,NEW
tacos,8,yoshi,8.88,NEW
Dext3r,9,pikachu,8.88,NEW
KeroKeroppi,10,pikachu;kirby,8.86,NEW
TR3GTheZ,11,pikachu;fox,8.86,NEW
Kurabba,12,yoshi,8.84,NEW
Prince,13,yoshi,8.70,NEW
Stranded,14,pikachu;captain falcon,8.50,NEW
Revan,15,kirby,8.48,NEW
Fox,16,fox,8.36,NEW
derek,17,pikachu,7.96,NEW
Kort,18,pikachu;link,7.93,NEW
Zero,19,captain falcon,7.83,NEW
bonobono,20,yoshi,7.83,NEW
Banze,21,pikachu,7.70,NEW
BarkSanchez,22,pikachu,7.68,NEW
JaimeHR,15,captain falcon;mario,7.65,NEW
Fireblaster,24,yoshi;mario,7.48,NEW
Firo,25,ness,7.47,NEW
Hero Pie,26,pikachu,7.43,NEW
DTan,27,kirby,7.40,NEW
Shalaka,28,pikachu,7.32,NEW
lord narwhal,29,captain falcon,6.99,NEW
Kimimaru,30,mario,6.82,NEW
YBOMBB,31,jigglypuff,6.80,NEW
Clubbadubba,32,pikachu,6.79,NEW
Kyle Tree,33,pikachu,6.74,NEW
Star King,34,kirby,6.72,NEW
Shears,35,yoshi,6.66,NEW
HandsomeTom,36,kirby,6.58,NEW
Nintendude,37,fox,6.39,NEW
Cobr,38,kirby,6.35,NEW
Marbles,39,pikachu,6.07,NEW
NTA,40,captain falcon,5.95,NEW
NaCl,41,kirby,5.91,NEW
Combo Blaze,42,captain falcon,5.91,NEW
sHEERmADNESS,43,yoshi,5.90,NEW
Near,44,ssb64,5.87,NEW
Zantetsu,45,pikachu,5.82,NEW
Wookiee,46,pikachu,5.81,NEW
Robert,47,pikachu,5.60,NEW
$$$ Jim $$$,48,fox,5.48,NEW
Snorlax,49,pikachu,5.43,NEW
CTG,50,jigglypuff,5.35,NEW
Janitor,51,captain falcon,5.33,NEW
Da Bear,52,pikachu,5.28,NEW
SotoH,53,kirby,5.21,NEW
Dajjal,54,fox,5.17,NEW
darkhorse,55,captain falcon,5.06,NEW
hipstur,56,fox,4.92,NEW
nothing,57,captain falcon,4.90,NEW
b link,58,pikachu,4.77,NEW
Jimmy Joe,59,pikachu,4.74,NEW
Lorenzo,60,donkey kong,4.69,NEW
D35,61,pikachu,4.65,NEW
Dogg,62,pikachu,4.64,NEW
Pete,63,yoshi,4.57,NEW
Jason,64,captain falcon,4.48,NEW
