Tag,Rank,Characters,X-Factor,Change
ZeRo,1,diddy kong,0,0
Ally,2,mario,0,+4
Nairo,3,zero suit samus,-1,-1
Dabuz,4,rosalina,-2,-1
Larry Lurr,5,fox,-2,+2
Void,6,sheik,-5,+2
Abadango,7,mewtwo,+2,-2
MKLeo,8,marth;cloud,+5,+11
ANTi,9,mario,0,+1
Mr. R, 10,sheik,0,-6
Kameme,11,mega man,0,NEW
Komorikiri,12,cloud;sonic,0,-1
Salem,13,bayonetta,0,NEW
Ranai,14,villager,0,-5
Marss,15,zero suit samus,0,-2
Zinoto,16,diddy kong,0,+7
Tweek,17,cloud,0,-2
Mr. E,18,marth,0,NEW
KEN,19,sonic,0,NEW
CaptainZack,20,bayonetta,0,NEW
WaDi,21,mewtwo,-3,NEW
Hyuga,22,toon link,0,+2
Rich Brown,23,mewtwo,0,NEW
Pink Fresh,24,bayonetta,0,+6
Earth,25,pit,0,+8
Mew2King,26,cloud,0,+2
ESAM,27,pikachu,0,-13
Fatality,28,captain falcon,0,+13
Samsora,29,peach,0,NEW
6WX,30,sonic,0,-10
ScAtt,31,mega man,0,+12
Dath,32,robin,0,NEW
falln,33,rosalina,0,+7
Tyrant,34,meta knight;sheik;diddy kong,0,-12
Vinnie,35,sheik;rosalina,0,-17
Nietono,36,diddy kong,0,-4
dyr,37,diddy kong,0,NEW
Day,38,lucario,0,NEW
Pugwest,39,marth,0,NEW
Saj,40,bayonetta,0,NEW
False,41,sheik;marth;ryu,0,-6
Trela,42,ryu,0,-17
Wrath,43,sonic,0,NEW
Darkshad,44,ryu,0,NEW
Locus,45,ryu,0,NEW
Ryo,46,ike;corrin;roy,0,-1
MVD,47,diddy kong,0,-26
Kirihara,48,rosalina,0,NEW
Taiheita,49,lucas,0,NEW
Ned,50,cloud,0,NEW
