Tournament Name,smash.gg slug
The Big House 6,the-big-house-6
Super Smash Con 2016,super-smash-con-2016
Snosa II,snosa-ii
Pound 2016,pound-2016
Shine 2016,shine-2016
Superboomed,superboomed
Get on My Level 2016,get-on-my-level-2016-good-game-con-ft-hbox-2
WTFox2,wtfox-2
Dreamhack Winter 2016,dreamhack-winter-2016
Smash N' Splash 2,smash-n-splash-2-1
Genesis 3,g3
Operation Desert Smash II,operation-desert-smash-ii
Boss Battle 2,boss-battle-2-1
Don't Park on the Grass,don-t-park-on-the-grass
Beast 6,beast-6
Pax Arena,pax-arena
Battle of the Five Gods,battle-of-the-five-gods
Smash Summit 2,smash-summit-2
Low Tier City 4,low-tier-city-4
Smash Summit 3,smash-summit-3
Revival of Brawl,revival-of-brawl
Dreamhack Austin 2016,dreamhack-austin-2016
CEO 2016,ceo-2016
Clutch City Clash,clutch-city-clash-powered-by-xyience
Heir 3,heir-3-1
Eclipse 2,eclipse-2
Canada Cup 2016,canada-cup-2016
UGC Smash Open,ugc-smash-open
Syndicate 2016,syndicate-2016
